1,6.67053364269
2,12.180974478
3,16.1832946636
4,19.7795823666
5,23.3178654292
6,26.8561484919
7,30.2204176334
8,33.5266821346
9,36.4849187935
10,39.1531322506
11,41.7053364269
12,44.1995359629
13,46.7517401392
14,49.0719257541
15,51.3921113689
16,53.7703016241
17,55.5684454756
18,57.4245939675
19,59.2807424594
20,61.0788863109
21,62.9930394432
22,65.0232018561
23,66.9373549884
24,68.5614849188
25,69.8955916473
26,71.1716937355
27,72.5638051044
28,73.7819025522
29,74.8259860789
30,75.9280742459
31,77.030162413
32,77.9582366589
33,78.8863109049
34,79.6403712297
35,80.6844547564
36,81.7285382831
37,82.5406032483
38,83.5266821346
39,84.4547563805
40,85.3248259861
41,85.9628770302
42,86.6009280742
43,87.1229698376
44,87.7610208817
45,88.1670533643
46,88.6890951276
47,89.211136891
48,89.7911832947
